"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 15 17:50:28 CST 2024","Sat Jun 15 17:50:28 CST 2024","0","testcases","test_playWright","","","","test_playWright",""
"passed","Sat Jun 15 17:50:20 CST 2024","Sat Jun 15 17:50:25 CST 2024","4745","testcases","test_lms","","","","登录预期成功","该用例针对用户登录的场景测试"
"passed","Sat Jun 15 17:50:26 CST 2024","Sat Jun 15 17:50:28 CST 2024","1464","testcases","test_login1","","","","用户注册-预期成功啦啦啦","该用例是针对 注册-查看 场景的测试"
"passed","Sat Jun 15 17:50:28 CST 2024","Sat Jun 15 17:50:28 CST 2024","458","testcases","test_pressure","","","","test_run",""
"passed","Sat Jun 15 17:50:26 CST 2024","Sat Jun 15 17:50:26 CST 2024","1","testcases","test_login1","","","","用户登录-预期成功","该用例是针对 登录-查看 场景的测试"
"passed","Sat Jun 15 17:50:25 CST 2024","Sat Jun 15 17:50:26 CST 2024","1190","testcases","test_login","","","","用户注册-预期成功啦啦啦","该用例是针对 注册-查看 场景的测试"
"passed","Sat Jun 15 17:50:28 CST 2024","Sat Jun 15 17:50:28 CST 2024","0","testcases","test_rootDirct","","","","test_rootDir0",""
"skipped","Sat Jun 15 17:50:28 CST 2024","Sat Jun 15 17:50:28 CST 2024","0","testcases","test_case","","","","test_sy",""
"passed","Sat Jun 15 17:50:25 CST 2024","Sat Jun 15 17:50:25 CST 2024","0","testcases","test_login","","","","用户登录-预期成功","该用例是针对 登录-查看 场景的测试"
"skipped","Sat Jun 15 17:50:28 CST 2024","Sat Jun 15 17:50:28 CST 2024","0","testcases","test_playWright1","","","","test_run",""
"broken","Sat Jun 15 17:49:49 CST 2024","Sat Jun 15 17:50:19 CST 2024","30006","testcases","test_AFCC","","","","test_example[chromium]",""
